Name,Certificate,Runtime,Genre,Rating,Metascore,Votes
Pirates of the Caribbean: Dead Men Tell No Tales(2017),PG-13,129 min,"Action, Adventure, Fantasy",6.6,39,"221,617"
Gladiator(2000),R,155 min,"Action, Adventure, Drama",8.5,67,"1,192,784"
Willow(1988),,126 min,"Action, Adventure, Drama",7.3,47,"92,004"
Outlaw King(2018),R,121 min,"Action, Biography, Drama",7.0,59,"41,491"
Sucker Punch(2011),PG-13,110 min,"Action, Fantasy",6.1,33,"216,839"
Transformers: The Last Knight(2017),PG-13,154 min,"Action, Adventure, Sci-Fi",5.2,27,"115,054"
The Equalizer 2(2018),R,121 min,"Action, Crime, Thriller",6.7,50,"86,849"
Tombstone(1993),R,130 min,"Action, Biography, Drama",7.8,50,"113,497"
The Mortal Instruments: City of Bones(2013),PG-13,130 min,"Action, Fantasy, Horror",5.9,33,"120,770"
.The Spiderwick Chronicles(2008),PG,96 min,"Action, Adventure, Family",6.6,62,"80,416"
.The Accountant(2016),R,128 min,"Action, Crime, Drama",7.3,51,"229,143"
.Edge of Tomorrow(2014),PG-13,113 min,"Action, Sci-Fi",7.9,71,"538,747"
.Ghost in the Shell(2017),PG-13,107 min,"Action, Drama, Sci-Fi",6.4,52,"171,688"
.Furious Seven(2015),PG-13,137 min,"Action, Crime, Thriller",7.2,67,"331,613"
.Aliens(1986),R,137 min,"Action, Adventure, Sci-Fi",8.4,84,"592,062"
.Tomb Raider(2018),PG-13,119 min,"Action, Adventure, Fantasy",6.3,48,"155,941"
.X-Men Origins: Wolverine(2009),PG-13,107 min,"Action, Adventure, Sci-Fi",6.6,40,"430,167"
.X-Men(2000),PG-13,104 min,"Action, Adventure, Sci-Fi",7.4,64,"528,458"
.Raiders of the Lost Ark(1981),PG,115 min,"Action, Adventure",8.5,85,"799,434"
.Captain America: The Winter Soldier(2014),PG-13,136 min,"Action, Adventure, Sci-Fi",7.8,70,"642,700"
.Hellboy II: The Golden Army(2008),PG-13,120 min,"Action, Adventure, Fantasy",7.0,78,"236,913"
.Spider-Man(2002),PG-13,121 min,"Action, Adventure, Sci-Fi",7.3,73,"630,934"
.Kingsman: The Secret Service(2014),R,129 min,"Action, Adventure, Comedy",7.7,60,"535,944"
.Johnny English Strikes Again(2018),PG,89 min,"Action, Adventure, Comedy",6.2,39,"41,970"
.Apocalypto(2006),R,139 min,"Action, Adventure, Drama",7.8,68,"268,402"
.Star Wars(1977),PG,121 min,"Action, Adventure, Fantasy",8.6,90,"1,105,128"
.The Lost World: Jurassic Park(1997),PG-13,129 min,"Action, Adventure, Sci-Fi",6.5,59,"339,933"
.King Arthur: Legend of the Sword(2017),PG-13,126 min,"Action, Adventure, Drama",6.8,41,"164,189"
.The Fugitive(1993),PG-13,130 min,"Action, Crime, Drama",7.8,87,"242,660"
.Jurassic World(2015),PG-13,124 min,"Action, Adventure, Sci-Fi",7.0,59,"531,494"
.Kingsman: The Golden Circle(2017),R,141 min,"Action, Adventure, Comedy",6.8,44,"222,612"
.300(2006),R,117 min,"Action, Fantasy",7.7,52,"685,299"
.Man of Steel(2013),PG-13,143 min,"Action, Adventure, Sci-Fi",7.1,55,"638,661"
.Rogue One(2016),PG-13,133 min,"Action, Adventure, Sci-Fi",7.8,65,"467,147"
.Maleficent(2014),PG,97 min,"Action, Adventure, Family",7.0,56,"300,962"
.Pearl Harbor(2001),PG-13,183 min,"Action, Drama, History",6.1,44,"290,542"
.The Magnificent Seven(2016),PG-13,132 min,"Action, Adventure, Western",6.9,54,"165,742"
.Die Hard(1988),,132 min,"Action, Thriller",8.2,72,"711,099"
.Dune(1984),,137 min,"Action, Adventure, Sci-Fi",6.6,40,"110,086"
.The Incredibles(2004),PG,115 min,"Animation, Action, Adventure",8.0,90,"591,490"
.Batman Begins(2005),PG-13,140 min,"Action, Adventure, Thriller",8.2,70,"1,175,870"
.Spectre(I) (2015),PG-13,148 min,"Action, Adventure, Thriller",6.8,60,"348,214"
.Predator(1987),,107 min,"Action, Adventure, Sci-Fi",7.8,45,"341,628"
.GoldenEye(1995),PG-13,130 min,"Action, Adventure, Thriller",7.2,65,"221,146"
.The Terminator(1984),,107 min,"Action, Sci-Fi",8.0,84,"719,420"
.The Commuter(I) (2018),PG-13,105 min,"Action, Mystery, Thriller",6.3,56,"78,775"
.Ghost Busters(1984),,105 min,"Action, Comedy, Fantasy",7.8,71,"319,878"
.Power Rangers(2017),PG-13,124 min,"Action, Adventure, Sci-Fi",6.0,44,"89,777"
.Shooter(I) (2007),R,124 min,"Action, Drama, Thriller",7.2,53,"289,232"
.X: First Class(2011),PG-13,131 min,"Action, Adventure, Sci-Fi",7.7,65,"600,432"
.Point Break(1991),R,122 min,"Action, Crime, Thriller",7.2,58,"135,998"
.Independence Day(1996),PG-13,145 min,"Action, Adventure, Sci-Fi",7.0,59,"490,456"
.Iron Man Three(2013),PG-13,130 min,"Action, Adventure, Sci-Fi",7.2,62,"672,894"
.The Fate of the Furious(2017),PG-13,136 min,"Action, Crime, Thriller",6.7,56,"175,498"
.Terminator 2: Judgment Day(1991),R,137 min,"Action, Sci-Fi",8.5,75,"893,649"
.Iron Man 2(2010),PG-13,124 min,"Action, Adventure, Sci-Fi",7.0,57,"638,133"
.The Incredible Hulk(2008),PG-13,112 min,"Action, Adventure, Sci-Fi",6.8,61,"389,561"
.Kill Bill: Vol. 1(2003),R,111 min,"Action, Crime, Thriller",8.1,69,"892,350"
.Ghostbusters(2016),PG-13,116 min,"Action, Comedy, Fantasy",5.2,60,"184,192"
.The Lego Movie(2014),PG,100 min,"Animation, Action, Adventure",7.8,83,"299,459"
.13 Hours(2016),R,144 min,"Action, Drama, History",7.3,48,"101,491"
.Sicario(2015),R,121 min,"Action, Crime, Drama",7.6,82,"322,291"
.Star Wars: Episode VII - The Force Awakens(2015),PG-13,136 min,"Action, Adventure, Fantasy",8.0,81,"774,532"
.Hell or High Water(II) (2016),R,102 min,"Action, Crime, Drama",7.6,88,"171,711"
.Stargate(1994),PG-13,116 min,"Action, Adventure, Sci-Fi",7.1,42,"164,393"
.Star Trek(2009),PG-13,127 min,"Action, Adventure, Sci-Fi",8.0,82,"553,451"
.Logan's Run(1976),,119 min,"Action, Sci-Fi",6.8,53,"46,895"
.Furious 6(2013),PG-13,130 min,"Action, Crime, Thriller",7.1,61,"343,511"
.The Mummy Returns(2001),PG-13,130 min,"Action, Adventure, Fantasy",6.4,48,"281,448"
.The Fast and the Furious(2001),PG-13,106 min,"Action, Crime, Thriller",6.8,58,"316,910"
.Terminator Genisys(2015),PG-13,126 min,"Action, Adventure, Sci-Fi",6.4,38,"230,633"
.Maze Runner: The Death Cure(2018),PG-13,143 min,"Action, Sci-Fi, Thriller",6.2,50,"86,765"
.Spider-Man 3(2007),PG-13,139 min,"Action, Adventure, Sci-Fi",6.2,59,"453,735"
.Divergent(2014),PG-13,139 min,"Action, Adventure, Mystery",6.7,48,"395,640"
.Gamer(2009),R,95 min,"Action, Sci-Fi, Thriller",5.8,27,"124,012"
.Skyfall(2012),PG-13,143 min,"Action, Adventure, Thriller",7.8,81,"587,290"
.Road House(1989),,114 min,"Action, Thriller",6.6,36,"53,078"
.Jupiter Ascending(2015),PG-13,127 min,"Action, Adventure, Sci-Fi",5.3,40,"164,716"
.The Legend of Tarzan(2016),PG-13,110 min,"Action, Adventure, Drama",6.3,44,"147,655"
.Bright(I) (2017),,117 min,"Action, Crime, Fantasy",6.4,29,"144,538"
.Men in Black 3(2012),PG-13,106 min,"Action, Adventure, Comedy",6.8,58,"305,249"
.Forbidden Planet(1956),,98 min,"Action, Adventure, Sci-Fi",7.6,No,"40,723"
.The Spy Who Dumped Me(2018),R,117 min,"Action, Adventure, Comedy",6.0,52,"42,564"
.Pirates of the Caribbean: The Curse of the Black Pearl(2003),PG-13,143 min,"Action, Adventure, Fantasy",8.0,63,"953,735"
.Hot Fuzz(2007),R,121 min,"Action, Comedy, Mystery",7.9,81,"419,937"
.Kick-Ass(2010),R,117 min,"Action, Comedy",7.6,66,"492,479"
.From Dusk Till Dawn(1996),R,108 min,"Action, Crime, Horror",7.2,48,"257,262"
.X-Men: The Last Stand(2006),PG-13,104 min,"Action, Adventure, Sci-Fi",6.7,58,"446,116"
.Valerian and the City of a Thousand Planets(2017),PG-13,137 min,"Action, Adventure, Fantasy",6.5,51,"136,013"
.Star Wars: Episode I - The Phantom Menace(1999),PG,136 min,"Action, Adventure, Fantasy",6.5,51,"645,233"
.Van Helsing(2004),PG-13,131 min,"Action, Adventure, Fantasy",6.1,35,"226,807"
.Oldboy(2013),R,104 min,"Action, Drama, Mystery",5.8,49,"62,346"
.CHIPS(2017),R,100 min,"Action, Comedy, Crime",6.0,28,"35,699"
.Serenity(2005),PG-13,119 min,"Action, Adventure, Sci-Fi",7.9,74,"267,998"
.Geostorm(2017),PG-13,109 min,"Action, Sci-Fi, Thriller",5.3,21,"75,813"
.Snow White and the Huntsman(2012),PG-13,127 min,"Action, Adventure, Drama",6.1,57,"256,733"
.Mad Max(1979),,88 min,"Action, Adventure, Sci-Fi",7.0,73,"174,784"
.The Karate Kid(1984),,126 min,"Action, Drama, Family",7.2,60,"155,689"
.12 Strong(2018),R,130 min,"Action, Drama, History",6.6,54,"47,210"
.Highlander(1986),R,116 min,"Action, Adventure, Fantasy",7.2,24,"112,094"
.Fury(2014),R,134 min,"Action, Drama, War",7.6,64,"376,329"
.Johnny English Reborn(2011),PG,101 min,"Action, Adventure, Comedy",6.3,46,"108,691"
.Hanna(2011),PG-13,111 min,"Action, Drama, Thriller",6.8,65,"176,493"
.Underworld(2003),R,121 min,"Action, Fantasy, Thriller",7.0,42,"237,426"
.Jurassic Park III(2001),PG-13,92 min,"Action, Adventure, Sci-Fi",5.9,42,"269,082"
.Oldeuboi(2003),R,120 min,"Action, Drama, Mystery",8.4,74,"450,746"
.Atomic Blonde(2017),R,115 min,"Action, Mystery, Thriller",6.7,63,"145,545"
.The Fast and the Furious: Tokyo Drift(2006),PG-13,104 min,"Action, Crime, Thriller",6.0,45,"216,148"
.The Amazing Spider-Man(2012),PG-13,136 min,"Action, Adventure, Sci-Fi",7.0,66,"518,744"
.The Day After Tomorrow(2004),PG-13,124 min,"Action, Adventure, Sci-Fi",6.4,47,"381,444"
.Oblivion(I) (2013),PG-13,124 min,"Action, Adventure, Sci-Fi",7.0,54,"448,209"
